schemaname,tablename,policyname,permissive,roles,operation,using_expression,check_expression
public,order_activities,users_insert_order_activities,PERMISSIVE,{public},INSERT,null,"(order_id IN ( SELECT orders.id
   FROM orders
  WHERE (orders.organisation_id = get_my_org())))"
public,order_activities,users_view_order_activities,PERMISSIVE,{public},SELECT,"(order_id IN ( SELECT orders.id
   FROM orders
  WHERE (orders.organisation_id = get_my_org())))",null
public,order_attachments,users_insert_order_attachments,PERMISSIVE,{public},INSERT,null,"((order_id IN ( SELECT orders.id
   FROM orders
  WHERE (orders.organisation_id = get_my_org()))) AND (uploaded_by_user_id = auth.uid()))"
public,order_attachments,users_view_order_attachments,PERMISSIVE,{public},SELECT,"(order_id IN ( SELECT orders.id
   FROM orders
  WHERE (orders.organisation_id = get_my_org())))",null
public,order_notes,users_delete_own_order_notes,PERMISSIVE,{public},DELETE,(user_id = auth.uid()),null
public,order_notes,users_insert_order_notes,PERMISSIVE,{public},INSERT,null,"((order_id IN ( SELECT orders.id
   FROM orders
  WHERE (orders.organisation_id = get_my_org()))) AND (user_id = auth.uid()))"
public,order_notes,users_update_own_order_notes,PERMISSIVE,{public},UPDATE,(user_id = auth.uid()),(user_id = auth.uid())
public,order_notes,users_view_order_notes,PERMISSIVE,{public},SELECT,"(order_id IN ( SELECT orders.id
   FROM orders
  WHERE (orders.organisation_id = get_my_org())))",null
public,orders,admins_delete_orders,PERMISSIVE,{public},DELETE,((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role)),null
public,orders,admins_sales_finance_view_all_orders,PERMISSIVE,{public},SELECT,"((organisation_id = get_my_org()) AND (get_my_role() = ANY (ARRAY['admin'::user_role, 'sales'::user_role, 'finance'::user_role])))",null
public,orders,users_insert_orders,PERMISSIVE,{public},INSERT,null,(organisation_id = get_my_org())
public,orders,users_update_orders,PERMISSIVE,{public},UPDATE,(organisation_id = get_my_org()),(organisation_id = get_my_org())
public,orders,workers_view_assigned_orders,PERMISSIVE,{public},SELECT,"((organisation_id = get_my_org()) AND (get_my_role() = 'worker'::user_role) AND ((assigned_to_user_id = auth.uid()) OR (assigned_to_team_id IN ( SELECT team_members.team_id
   FROM team_members
  WHERE ((team_members.user_id = auth.uid()) AND (team_members.is_active = true))))))",null
public,organisations,admins_update_org,PERMISSIVE,{public},UPDATE,((id = get_my_org()) AND (get_my_role() = 'admin'::user_role)),(id = get_my_org())
public,organisations,users_view_own_org,PERMISSIVE,{public},SELECT,(id = get_my_org()),null
public,payroll_adjustments,finance_delete_payroll_adjustments,PERMISSIVE,{public},DELETE,"((organisation_id = get_my_org()) AND (get_my_role() = ANY (ARRAY['admin'::user_role, 'finance'::user_role])))",null
public,payroll_adjustments,finance_insert_payroll_adjustments,PERMISSIVE,{public},INSERT,null,"((organisation_id = get_my_org()) AND (get_my_role() = ANY (ARRAY['admin'::user_role, 'finance'::user_role])))"
public,payroll_adjustments,finance_update_payroll_adjustments,PERMISSIVE,{public},UPDATE,"((organisation_id = get_my_org()) AND (get_my_role() = ANY (ARRAY['admin'::user_role, 'finance'::user_role])))","((organisation_id = get_my_org()) AND (get_my_role() = ANY (ARRAY['admin'::user_role, 'finance'::user_role])))"
public,payroll_adjustments,finance_view_payroll_adjustments,PERMISSIVE,{public},SELECT,"((organisation_id = get_my_org()) AND (get_my_role() = ANY (ARRAY['admin'::user_role, 'finance'::user_role, 'sales'::user_role])))",null
public,payroll_status,finance_manage_payroll_status,PERMISSIVE,{public},ALL,"((organisation_id = get_my_org()) AND (get_my_role() = ANY (ARRAY['admin'::user_role, 'finance'::user_role])))","((organisation_id = get_my_org()) AND (get_my_role() = ANY (ARRAY['admin'::user_role, 'finance'::user_role])))"
public,payroll_status,finance_view_payroll_status,PERMISSIVE,{public},SELECT,"((organisation_id = get_my_org()) AND (get_my_role() = ANY (ARRAY['admin'::user_role, 'finance'::user_role])))",null
public,quote_line_items,users_manage_quote_line_items,PERMISSIVE,{public},ALL,"((organisation_id = get_my_org()) OR (quote_id IN ( SELECT quotes.id
   FROM quotes
  WHERE (quotes.organisation_id = get_my_org()))))","((organisation_id = get_my_org()) OR (quote_id IN ( SELECT quotes.id
   FROM quotes
  WHERE (quotes.organisation_id = get_my_org()))))"
public,quote_templates,users_manage_quote_templates,PERMISSIVE,{public},ALL,(organisation_id = get_my_org()),(organisation_id = get_my_org())
public,quote_templates,users_view_quote_templates,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
public,quotes,admins_delete_quotes,PERMISSIVE,{public},DELETE,((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role)),null
public,quotes,public_accept_quotes_with_token,PERMISSIVE,{public},UPDATE,((acceptance_token IS NOT NULL) AND (token_expires_at > now()) AND (status = 'sent'::quote_status)),((acceptance_token IS NOT NULL) AND (token_expires_at > now()) AND (status = 'accepted'::quote_status))
public,quotes,public_view_quotes_with_token,PERMISSIVE,{public},SELECT,((acceptance_token IS NOT NULL) AND (token_expires_at > now())),null
public,quotes,users_insert_quotes,PERMISSIVE,{public},INSERT,null,(organisation_id = get_my_org())
public,quotes,users_update_quotes,PERMISSIVE,{public},UPDATE,(organisation_id = get_my_org()),(organisation_id = get_my_org())
public,quotes,users_view_quotes,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
